                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 0.6349,                 0.4845,                 1.0654,                      0,                      0,                      0,                      0,                      0,                 270.78,                      0,              0.0004952,              0.0004952,              0.0004952
                     78,                0.67178,                0.47922,                 1.0606,                      0,                      0,                      0,                      0,                      0,                 255.14,                      0,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.6135,                0.43678,                 1.0506,                      0,                      0,                      0,                      0,                      0,                  251.2,                      0,              0.0004556,              0.0004556,              0.0004556
                     80,                0.64306,                0.45664,                 1.0467,                      0,                      0,                      0,                      0,                      0,                 250.92,                      0,              0.0004358,              0.0004358,              0.0004358
                     81,                0.58245,                0.45582,                 1.0435,                      0,                      0,                      0,                      0,                      0,                 249.93,                      0,               0.000416,               0.000416,               0.000416
                     82,                0.60332,                0.43683,                  1.029,                      0,                      0,                      0,                      0,                      0,                 255.41,                      0,              0.0003962,              0.0003962,              0.0003962
                     83,                0.58832,                0.40001,                 1.0281,                      0,                      0,                      0,                      0,                      0,                 261.69,                      0,              0.0003764,              0.0003764,              0.0003764
                     84,                0.58777,                0.43911,                 1.0357,                      0,                      0,                      0,                      0,                      0,                 276.73,                      0,              0.0003566,              0.0003566,              0.0003566
                     85,                0.55001,                0.41086,                0.98439,                      0,                      0,                      0,                      0,                      0,                 283.09,                      0,              0.0003368,              0.0003368,              0.0003368
                     86,                0.57401,                0.43333,                 1.0393,                      0,                      0,                      0,                      0,                      0,                 295.06,                      0,               0.000317,               0.000317,               0.000317
                     87,                0.59475,                0.42441,                 1.0346,                      0,                      0,                      0,                      0,                      0,                 300.33,                      0,              0.0002972,              0.0002972,              0.0002972
                     88,                0.61853,                0.42356,                 1.0375,                      0,                      0,                      0,                      0,                      0,                 302.32,                      0,              0.0002774,              0.0002774,              0.0002774
                     89,                0.56563,                 0.4173,                 1.0252,                      0,                      0,                      0,                      0,                      0,                 303.58,                      0,              0.0002576,              0.0002576,              0.0002576
                     90,                0.52957,                0.38608,                0.98332,                      0,                      0,                      0,                      0,                      0,                 305.38,                      0,              0.0002378,              0.0002378,              0.0002378
                     91,                0.44882,                0.50622,                0.94465,                      0,                      0,                      0,                      0,                      0,                  311.6,                      0,               0.000218,               0.000218,               0.000218
                     92,                0.45158,                0.47251,                0.94215,                      0,                      0,                      0,                      0,                      0,                 300.73,                      0,              0.0001982,              0.0001982,              0.0001982
                     93,                0.43043,                 0.4089,                0.92366,                      0,                      0,                      0,                      0,                      0,                  288.6,                      0,              0.0001784,              0.0001784,              0.0001784
                     94,                0.42812,                0.38847,                0.91798,                      0,                      0,                      0,                      0,                      0,                 261.85,                      0,              0.0001586,              0.0001586,              0.0001586
                     95,                0.44896,                0.40222,                0.94775,                      0,                      0,                      0,                      0,                      0,                 254.11,                      0,              0.0001388,              0.0001388,              0.0001388
                     96,                0.43238,                0.38809,                0.92335,                      0,                      0,                      0,                      0,                      0,                 250.34,                      0,               0.000119,               0.000119,               0.000119
                     97,                0.39166,                0.36857,                0.88721,                      0,                      0,                      0,                      0,                      0,                 254.75,                      0,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.42356,                0.36838,                0.90262,                      0,                      0,                      0,                      0,                      0,                 269.97,                      0,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.38246,                0.37615,                0.92558,                      0,                      0,                      0,                      0,                      0,                 278.08,                      0,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.45048,                0.38566,                0.92514,                      0,                      0,                      0,                      0,                      0,                 289.93,                      0,               3.98e-05,               3.98e-05,               3.98e-05
